codBPIN;nomProy
0025003100000;CAPACITACION PARA PERSONAS EN SITUACION DE DESPLAZAMIENTO PARA MEJORAR SUS NIVELES DE EMPLEABILIDAD Y LA CESACION DE SU CONDICION DE DESPLAZADO A NIVEL NACIONAL
0025003110000;CAPACITACION  A TRABAJADORES Y DESEMPLEADOS PARA SU DESEMPENO EN ACTIVIDADES PRODUCTIVAS, Y ASESORIA Y ASISTENCIA TECNICA EMPRESARIAL, PARA EL DESARROLLO SOCIAL, ECONOMICO Y TECNOLOGICO, A TRAVES DE LOS CENTROS DE FORMACION DEL SENA A NIVEL  NACIONAL
0025003240000;CAPACITACION PARA EL TRABAJO  A JOVENES RURALES Y POBLACIONES VULNERABLES    EN EL TERRITORIO  NACIONAL
0025003290000;AMPLIACION DE COBERTURA EN FORMACION PROFESIONAL PARA MEJORAR LAS POSIBILIDADES DE EMPLEABILIDAD DE LOS  JOVENES EN DIFERENTES CIUDADES A NIVEL NACIONAL
0027005909999;ADQUISICION COMPRA DE TERRENOS, CONSTRUCCION RECONSTRUCCION AMPLIACION  ADECUACION REMODELACION Y DOTACION ESTACIONES DE POLICIA
0027006140000;ADQUISICION Y RENOVACION DE EQUIPOS Y ELEMENTOS PARA LA SEGURIDAD EN AEROPUERTOS.
0027009219999;DISTRIBUCION DE RECURSOS PARA PAGOS POR MENORES TARIFAS SECTOR ELECTRICO
0027013589999;IMPLANTACION Y DESARROLLO DEL SISTEMA DE INFORMACION NACIONAL Y TERRITORIAL.SNCT.
0027021860000;ASESORIA Y SERVICIOS DE CONSULTORIA.
0027021960000;AMPLIACION RED DE RADARES A NIVEL NACIONAL.
0027022390000;MANTENIMIENTO Y CONSERVACION DEL SISTEMA DE TELECOMUNICACIONES Y AYUDAS A LA NAVEGACION AEREA A NIVEL NACIONAL.
0027033239999;ASISTENCIA TECNICA PARA EL DESARROLLO DEL SECTOR AGROPECUARIO Y PESQUERO. FONDO FOMENTO AGROPECUARIO
0027034810000;REHABILITACION DE VIAS FERREAS A NIVEL NACIONAL, A TRAVES DEL SISTEMA DE CONCESIONES
0027040100000;IMPLANTACION DEL PROGRAMA DE CONCESIONES Y PRIVATIZACIONES
0027040699999;ADQUISICIÓN DE EQUIPO Y ADECUACIÓN UPS - SALUD DE LAS FUERZAS MILITARES
0027040710000;ADQUISICION DE SEDES EN EL EXTERIOR - INTERNACIONAL
0027045740000;ADMINISTRACION DEL FONDO DE SOLIDARIDAD AGROPECUARIA A NIVEL NACIONAL
0027056020000;ASISTENCIA Y APOYO PARA EL DESARROLLO ARTISTICO E INDUSTRIAL DE LA CINEMATOGRAFIA COLOMBIANA.
0027056150000;DISTRIBUCION DE RECURSOS PARA OTORGAR INCENTIVOS A LA CREACION Y A LA INVESTIGACION.
0027056230000;IMPLANTACION DE REDES DE SERVICIOS CULTURALES A NIVEL REGIONAL.
0027056370000;AMPLIACION FISICA, MANTENIMIENTO Y DOTACION DEL MUSEO NACIONAL DE COLOMBIA
0027056420000;IMPLANTACION DE LA PLATAFORMA TECNOLOGICA, ADQUISICION, DESARROLLO,INTEGRACION, SUMINISTRO, INSTALACION, MANTENIMIENTO, ASESORIA Y CAPACITACION DE TECNOLOGIAS INFORMATICAS
0027063140000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD NACIONAL
0027063150000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DEL CAUCA
0027063160000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DE CALDAS
0027063170000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD POPULAR DEL CESAR
0027063180000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DE CORDOBA
0027063190000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
0027063200000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD PEDAGOGICA NACIONAL
0027063240000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD TECNOLOGICA DE PEREIRA
0027063250000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DE LA AMAZONIA
0027063270000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA
0027063280000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD TECNOLOGICA DEL CHOCO
0027063300000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DE LOS LLANOS
0027063310000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD SUR COLOMBIANA
0027063360000;CAPACITACION DEL RECURSO HUMANO DEL SECTOR SALUD, BECAS CREDITO.
0033000389999;MEJORAMIENTO ,MANTENIMIENTO DE LA CONCESIÓN CARTAGENA, BARRANQUILLA
0033000399999;APOYO ESTATAL A LOS PUERTOS A NIVEL NACIONAL
0035000010000;SUBSIDIO FAMILIAR DE VIVIENDA
0041001260000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA PUENTE SAN MIGUEL-ESPINAL DE LA TRONCAL DEL MAGDALENA. PUTUMAYO-CAUCA-HUILA-TOLIMA.
0041001280000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA SANTAFE DE BOGOTA-CHIQUINQUIRA- BUCARAMANGA-SAN ALBERTO DE LA TRONCAL CENTRAL. CUNDINAMARCA-BOYACA- SANTANDER-NORTE DE SANTANDER.
0041001290000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA CLUB CAMPESTRE-LA FELISA. TRONCAL DE EJE CAFETERO. QUINDIO-RISARALDA-CALDAS.
0041001380000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA BUENAVENTURA-VILLAVICENCIO DE LA TRANSVERSAL BUENAVENTURA-VILLAVICENCIO. VALLE-QUINDIO-TOLIMA-CUNDINAMARCA-META.
0041001390000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA TUMACO-MOCOA DE LA TRANSVERSAL TUMACO MOCOA. NARIÑ0-PUTUMAYO.
0041001830000;REHABILITACION Y CONSERVACION DE PUENTES. - PREVIO CONCEPTO DNP
0041002020000;ADQUISICION INSTALACION, IMPLANTACION Y MATENIMIENTO DE EQUIPOS Y PROGRAMAS PARA EL DESARROLLO DE SISTEMAS.
0041002860000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA CUCUTA-SARDINATA-OCAÑA-AGUACLARA Y  ACCESOS. NORTE DE SANTANDER-CESAR.
0041005290000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA PUERTO BOYACA-CHIQUINQUIRA-VILLA DE LEYVA-TUNJA-RAMIRIQUI-MIRAFLORES-MONTERREY. BOYACA-CASANARE.
0041005670000;ADQUISICION MANTENIMIENTO Y OPERACION DE VEHICULOS Y AERONAVES
0041007110000;MEJORAMIENTO Y MANTENIMIENTO DE LA CARRETERA LOS CUROS-MALAGA.  SANTANDER
0041007340000;MEJORAMIENTO Y MANTANIMIENTO CARRETERA BOGOTA-TUNJA-DUITAMA-SOATA-MALAGA- PAMPLONA-CUCUTA-PUERTO SANTANDER. DE LA TRONCAL CENTRAL DEL NORTE. CUNDINAMARCA-BOYACA-SANTANDER-NORTE DE SANTANDER.
0041007350000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA VILLAGARZON-LA MINA-SAN JUANDE ARAMA-VILLAVICENCIO-TAME-SARAVENA-PUENTE INTERNACIONAL RIO ARAUCA. TRONCAL VILLAGARZON-SARAVENA. PUTUMAYO-CAQUETA-META-CASANARE.
0041007390000;ADQUISICION DE SEGUROS PARA VEHICULOS QUE TRANSITEN EN CARRETERAS NACIONALES.
0041007400000;MEJORAMIENTO Y MANTENIMIENTO TRIBUGA-MEDELLIN-PUERTO BERRIO-CRUCE RUTA 45-BARRANCABERMEJA-BUCARAMANGA-PAMPLONA-ARAUCA. CHOCO-ANTIOQUIA-SANTANDER-NORTE DE SANTANDER Y ARAUCA.
0041007440000;MEJORAMIENTO Y MANTENIMIENTO DE LA TRANSVERSAL DEL CARARE. PUERTO ARAUJO- CIMITARRA-LANDAZURI-VELEZ-BARBOSA-TUNJA. SANTANDER-BOYACA.
0041007710000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA DUITAMA-SOGAMOSO-AGUAZUL. ACCESOS A YOPAL. BOYACA-CASANARE.
0041008010000;MEJORAMIENTO DE LA GESTION AMBIENTAL EN LOS PROYECTOS DEL INSTITUTONACIONAL DE VIAS. - PREVIO CONCEPTO DNP
0041008100000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA POPAYAN-INZA-LA PLATA-LABERINTO. CAUCA-HUILA.
0041008160000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA LAS ANIMAS-SANTA CECILIA-PUEBLO RICO-FRESNO-BOGOTA. TRANSVERSAL LAS ANIMAS-BOGOTA. CHOCO-RISARALDA-CALDAS -TOLIMA-CUNDINAMARCA.
0041008170000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA PUERTO REY-MONTERIA-CERETE-LA YE-EL VIAJANO-GUAYEPO-MAJAGUAL. DE LA TRANSVERSAL PUERTO REY-MONTERIA-TIBU. CORDOBA-SUCRE
0041008220000;MEJORAMIENTO Y MANTENIMIENTO VIAS ALTERNAS A LA TRONCAL DE OCCIDENTE. NARIÑO-ANTIOQUIA-CAUCA-VALLE DEL CAUCA-RISARALDA.
0041008600000;MEJORAMIENTO Y MANTENIMIENTO CARRETERA GRANADA-SAN JOSE DEL GUAVIARE DE LA TRANSVERSAL BUGA-PUERTO INIRIDA. META-GUAVIARE.
0041008730000;APOYO A LA GESTION DEL ESTADO. OBRAS COMPLEMENTARIAS Y COMPRA DE PREDIOS. CONTRATOS DE CONCESION.
0041008740000;APOYO A LA GESTION DEL ESTADO. ASESORIAS Y CONSULTORIAS. CONTRATOS DE CONCESION.
0041010500000;MEJORAMIENTO Y MANTENIMIENTO DE LA RED TERCIARIA NACIONAL
0041010540000;CONSTRUCCION TRANSBORDADORES OBRAS COMPLEMENTARIAS A NIVEL NACIONAL
0041011490000;SANEAMIENTO ORGANIZACION Y CONTROL DE LOS BIENES INMUEBLES ASIGNADOS AL INSTITUTO NACIONAL DE VIAS.
0041011710000;IMPLEMENTACION DE UN SISTEMA DE GESTION INTEGRAL DEL RIESGO DE LASREDES DE TRANSPORTE EN COLOMBIA VIAL,FLUVIAL,FERREA Y PUERTOS - PREVIO CONCEPTO DNP
0041011720000;MEJORAMIENTO Y MANTENIMIENTO DE LA CARRETERA TAME - COROCORO - ARAUCA. ARAUCA
0041012660000;CONSTRUCCION OBRAS ANEXAS Y TUNEL DEL SEGUNDO CENTENARIO. DEPARTAMENTOS DE TOLIMA Y QUINDIO.
0041012860000;MEJORAMIENTO ADMINISTRACION Y MANTENIMIENTO DEL SISTEMA DE GESTIONDE LA CALIDAD. NACIONAL
0041017380000;CONSTRUCCION DE LA VARIANTE SAN FRANCISCO  - MOCOA . DEPARTAMENTO DE PUTUMAYO
0044000560000;MANTENIMIENTO DE LOS BANCOS DE GERMOPLASMA ANIMAL, VEGETAL Y MICROBIAL A NIVEL NACIONAL
0046000130000;ADQUISICION RED SISTEMAS METEOROLOGICOS PARA LA FAC
0046000430000;REPOSICION Y ADQUISICION DE ARMAMENTO, MUNICION Y EQUIPO ESPECIAL PARA DOTAR A LOS GRUPOS DE SEGURIDAD Y DEFENSA DE LAS BASES AEREAS FAC
0046000440000;ADQUISICION E IMPLEMENTACION DEL SISTEMA DE SEGURIDAD ELECTRONICA YMEDIDAS PASIVAS PARA LAS BASES AEREAS
0046001910000;ACTUALIZACION MODERNIZACION Y EXTENSION DE LA VIDA UTIL DEL EQUIPO AERONAUTICO DE LA FAC A NIVEL NACIONAL
0046001980000;CONSTRUCCION Y DOTACION VIVIENDA FISCAL PARA PERSONAL MILITAR EN LAS UNIDADES DE LA FUERZA AEREA  A NIVEL NACIONAL
0046002040000;CONSTRUCCION  ADECUACION, MANTENIMIENTO, ADQUISICION Y DOTACION DELA INFRAESTRUCTURA DE LA FUERZA AEREA A NIVEL NACIONAL
0047002440000;AMPLIACIÓN Y MODERNIZACIÓN DE LA ESTRUCTURA AERONAVAL DE LA ARMADA NACIONAL A NIVEL NACIONAL
0047002460000;ADQUISICION DOTACION Y MANTENIMIENTO EQUIPO MILITAR A NIVEL  NACIONAL
0047002480000;ADQUISICION DE UNIDADES PATRULLERAS PARA ZONA ECONOMICA EXCLUSIVA YDE COSTAS EN LA COSTA ATLANTICA Y OCCIDENTE DEL PAIS
0047002550000;MANTENIMIENTO , REPARACION Y DOTACION UNIDADES A FLOTE, SUBMARINAS,AEREAS Y AUXILIARES A NIVEL NACIONAL
0047002560000;ACTUALIZACION MODERNIZACION REPOTENCIACION Y EXTENSION DE LA VIDA UTIL DE LAS FRAGATAS MISILERAS A NIVEL NACIONAL
0047002630000;IMPLEMENTACION Y FORTALECIMIENTO DE LA INTELIGENCIA NAVAL A NIVEL NACIONAL
0047002690000;ADQUISICION MUNICION PARA LA ARMADA NACIONAL  A NIVEL NACIONAL
0047002750000;ADQUISICION EQUIPO DE MOVILIDAD PARA LA ARMADA NACIONAL - INFANTERIA DE MARINA A NIVEL NACIONAL
0047002780000;ADQUISICION CONSTRUCCION ADECUACION Y DOTACION DE INFRAESTRUCTURA DE LA AVIACION NAVAL A NIVEL NACIONAL
0047002790000;CONSTRUCCION Y DESARROLLO INTEGRAL DE LA INFRAESTRUCTURA FISICA DELCUERPO DE GUARDACOSTAS   EN LA COSTA CARIBE, PACIFICO Y SUR DEL PAIS
